,Year,FIPS,County Name,Total Burn Area
0,1992,01007,Bibb County,40.0
1,1992,01015,Calhoun County,111.0
2,1992,01019,Cherokee County,38.300000000000004
3,1992,01021,Chilton County,0.8
4,1992,01027,Clay County,41.0
5,1992,01029,Cleburne County,257.5
6,1992,01033,Colbert County,31.7
7,1992,01039,Covington County,0.30000000000000004
8,1992,01049,DeKalb County,12.1
9,1992,01053,Escambia County,18.0
10,1992,01077,Lauderdale County,0.5
11,1992,01079,Lawrence County,12.5
12,1992,01097,Mobile County,175.0
13,1992,01105,Perry County,5.0
14,1992,01121,Talladega County,79.1
15,1992,01133,Winston County,430.4
16,1992,02013,Aleutians East Borough,30.0
17,1992,02020,Anchorage Municipality,1.0
18,1992,02050,Bethel Census Area,213.9
19,1992,02068,Denali Borough,3.7
20,1992,02070,Dillingham Census Area,32.0
21,1992,02090,Fairbanks North Star Borough,389.0
22,1992,02100,Haines Borough,1.0
23,1992,02105,Hoonah-Angoon Census Area,0.1
24,1992,02110,Juneau City and Borough,0.1
25,1992,02122,Kenai Peninsula Borough,77.7
26,1992,02130,Ketchikan Gateway Borough,0.5
27,1992,02150,Kodiak Island Borough,405.3
28,1992,02158,Kusilvak Census Area,373.4
29,1992,02164,Lake and Peninsula Borough,1103.0
30,1992,02170,Matanuska-Susitna Borough,153.3
31,1992,02180,Nome Census Area,365.8
32,1992,02185,North Slope Borough,202.0
33,1992,02188,Northwest Arctic Borough,4271.0
34,1992,02195,Petersburg Borough,0.1
35,1992,02198,Prince of Wales-Hyder Census Area,0.6000000000000001
36,1992,02220,Sitka City and Borough,0.1
37,1992,02240,Southeast Fairbanks Census Area,51590.4
38,1992,02261,Valdez-Cordova Census Area,4.9
39,1992,02275,Wrangell City and Borough,0.1
40,1992,02290,Yukon-Koyukuk Census Area,83498.3
41,1992,04001,Apache County,77.3
42,1992,04003,Cochise County,3897.35
43,1992,04005,Coconino County,387.15
44,1992,04007,Gila County,2167.7
45,1992,04009,Graham County,2342.45
46,1992,04011,Greenlee County,193.6
47,1992,04012,La Paz County,654.1
48,1992,04013,Maricopa County,12163.66
49,1992,04015,Mohave County,1539.25
50,1992,04017,Navajo County,102.8
51,1992,04019,Pima County,2605.44
52,1992,04021,Pinal County,13940.95
53,1992,04023,Santa Cruz County,93.30000000000001
54,1992,04025,Yavapai County,320.8
55,1992,04027,Yuma County,3772.5
56,1992,05003,Ashley County,54.0
57,1992,05005,Baxter County,38.0
58,1992,05007,Benton County,12.0
59,1992,05029,Conway County,0.1
60,1992,05033,Crawford County,503.2
61,1992,05047,Franklin County,88.0
62,1992,05051,Garland County,41.1
63,1992,05059,Hot Spring County,0.1
64,1992,05067,Jackson County,6.0
65,1992,05071,Johnson County,98.3
66,1992,05083,Logan County,21.5
67,1992,05089,Marion County,63.8
68,1992,05097,Montgomery County,100.1
69,1992,05101,Newton County,3.6
70,1992,05105,Perry County,6.0
71,1992,05107,Phillips County,5.0
72,1992,05113,Polk County,2.1
73,1992,05115,Pope County,0.2
74,1992,05117,Prairie County,40.5
75,1992,05123,St. Francis County,23.5
76,1992,05125,Saline County,36.0
77,1992,05127,Scott County,54.3
78,1992,05129,Searcy County,98.7
79,1992,05137,Stone County,49.9
80,1992,05141,Van Buren County,2.5
81,1992,05143,Washington County,46.4
82,1992,05147,Woodruff County,60.300000000000004
83,1992,05149,Yell County,23.3
84,1992,06001,Alameda County,1055.1
85,1992,06003,Alpine County,143.20000000000002
86,1992,06005,Amador County,710.4
87,1992,06007,Butte County,18520.7
88,1992,06009,Calaveras County,21321.6
89,1992,06011,Colusa County,2791.3999999999996
90,1992,06013,Contra Costa County,651.1
91,1992,06015,Del Norte County,13.4
92,1992,06017,El Dorado County,26093.7
93,1992,06019,Fresno County,3630.1
94,1992,06021,Glenn County,851.9
95,1992,06023,Humboldt County,3195.6000000000004
96,1992,06025,Imperial County,1985.6
97,1992,06027,Inyo County,2219.9
98,1992,06029,Kern County,11028.5
99,1992,06031,Kings County,508.8
100,1992,06033,Lake County,2838.2000000000003
101,1992,06035,Lassen County,3615.4
102,1992,06037,Los Angeles County,1874.5
103,1992,06039,Madera County,12916.300000000001
104,1992,06041,Marin County,81.6
105,1992,06043,Mariposa County,3283.7
106,1992,06045,Mendocino County,1158.1000000000001
107,1992,06047,Merced County,12992.0
108,1992,06049,Modoc County,3240.1
109,1992,06051,Mono County,36.0
110,1992,06053,Monterey County,12444.699999999999
111,1992,06055,Napa County,1430.7
112,1992,06057,Nevada County,309.0
113,1992,06059,Orange County,20.7
114,1992,06061,Placer County,2806.2999999999997
115,1992,06063,Plumas County,130.3
116,1992,06065,Riverside County,17957.1
117,1992,06067,Sacramento County,978.7
118,1992,06069,San Benito County,243.0
119,1992,06071,San Bernardino County,6886.5
120,1992,06073,San Diego County,7486.8
121,1992,06075,San Francisco County,0.1
122,1992,06077,San Joaquin County,825.0
123,1992,06079,San Luis Obispo County,1771.9
124,1992,06081,San Mateo County,26.9
125,1992,06083,Santa Barbara County,1542.2
126,1992,06085,Santa Clara County,282.2
127,1992,06087,Santa Cruz County,61.7
128,1992,06089,Shasta County,66275.5
129,1992,06091,Sierra County,43.1
130,1992,06093,Siskiyou County,3141.5
131,1992,06095,Solano County,460.8
132,1992,06097,Sonoma County,675.0
133,1992,06099,Stanislaus County,2338.1
134,1992,06101,Sutter County,120.0
135,1992,06103,Tehama County,4626.099999999999
136,1992,06105,Trinity County,5419.8
137,1992,06107,Tulare County,5477.6
138,1992,06109,Tuolumne County,12521.1
139,1992,06111,Ventura County,247.4
140,1992,06113,Yolo County,898.8
141,1992,06115,Yuba County,562.9
142,1992,08001,Adams County,0.1
143,1992,08003,Alamosa County,18.5
144,1992,08005,Arapahoe County,10.0
145,1992,08007,Archuleta County,22.8
146,1992,08009,Baca County,507.3
147,1992,08011,Bent County,2.1
148,1992,08013,Boulder County,62.300000000000004
149,1992,08015,Chaffee County,22.400000000000002
150,1992,08017,Cheyenne County,0.1
151,1992,08019,Clear Creek County,0.4
152,1992,08021,Conejos County,2.3000000000000003
153,1992,08023,Costilla County,0.1
154,1992,08027,Custer County,30.5
155,1992,08029,Delta County,4.9
156,1992,08031,Denver County,0.1
157,1992,08033,Dolores County,0.1
158,1992,08035,Douglas County,16.1
159,1992,08037,Eagle County,148.0
160,1992,08039,Elbert County,151.5
161,1992,08041,El Paso County,2206.6
162,1992,08043,Fremont County,230.5
163,1992,08045,Garfield County,89.6
164,1992,08047,Gilpin County,0.5
165,1992,08049,Grand County,220.29999999999998
166,1992,08051,Gunnison County,124.9
167,1992,08053,Hinsdale County,0.2
168,1992,08055,Huerfano County,2.4000000000000004
169,1992,08057,Jackson County,36.5
170,1992,08059,Jefferson County,10.1
171,1992,08061,Kiowa County,0.1
172,1992,08063,Kit Carson County,0.1
173,1992,08065,Lake County,4.2
174,1992,08067,La Plata County,39.6
175,1992,08069,Larimer County,15.299999999999999
176,1992,08071,Las Animas County,23.1
177,1992,08073,Lincoln County,21.4
178,1992,08077,Mesa County,165.7
179,1992,08079,Mineral County,1.2
180,1992,08081,Moffat County,1561.0
181,1992,08083,Montezuma County,4.5
182,1992,08085,Montrose County,163.1
183,1992,08089,Otero County,50.0
184,1992,08091,Ouray County,0.6000000000000001
185,1992,08093,Park County,20.7
186,1992,08097,Pitkin County,39.5
187,1992,08101,Pueblo County,0.2
188,1992,08103,Rio Blanco County,754.7
189,1992,08105,Rio Grande County,12.7
190,1992,08107,Routt County,345.0
191,1992,08109,Saguache County,92.10000000000001
192,1992,08111,San Juan County,0.1
193,1992,08113,San Miguel County,55.5
194,1992,08117,Summit County,2.4000000000000004
195,1992,08119,Teller County,11.9
196,1992,08123,Weld County,136.5
197,1992,08125,Yuma County,9.0
198,1992,09001,Fairfield County,14.9
199,1992,09003,Hartford County,78.0
200,1992,09005,Litchfield County,29.6
201,1992,09007,Middlesex County,21.0
202,1992,09009,New Haven County,148.0
203,1992,09011,New London County,121.85
204,1992,09013,Tolland County,37.699999999999996
205,1992,09015,Windham County,15.0
206,1992,10001,Kent County,120.0
207,1992,10005,Sussex County,4.0
208,1992,11001,District of Columbia,0.4
209,1992,12001,Alachua County,1018.1999999999999
210,1992,12003,Baker County,1445.1
211,1992,12005,Bay County,813.2
212,1992,12007,Bradford County,83.8
213,1992,12009,Brevard County,2590.1
214,1992,12011,Broward County,84.6
215,1992,12013,Calhoun County,283.1
216,1992,12015,Charlotte County,1682.4
217,1992,12017,Citrus County,746.1
